"","School","Address","City","Zip","AddressFull","Public","County","Dist","Name","Color1","Color2","Color3","Enrollment","Conf","Mascot","Enr_Class","lon","lat"
"1392","SALEM","1200 East Sixth Street","Salem","44460-1757","1200 East Sixth Street, Salem, OH 44460-1757","PUBLIC","Columbiana","Northeast","SALEM","RED","BLACK",NA,237,"Northeastern Buckeye Conference","QUAKERS","(AA)",-80.8447387,40.9071468
"1394","SANDUSKY","2130 HAYES AVENUE","SANDUSKY","44870-4740","2130 HAYES AVENUE, SANDUSKY, OH 44870-4740","PUBLIC","Erie","Northwest","SANDUSKY","BLUE","WHITE",NA,317,"Sandusky Bay Conference","BLUE STREAKS","(AAA)",-82.7126261,41.4345798
"1396","SANDY VALLEY","5130 STATE ROUTE 183 NE","MAGNOLIA","44643-9801","5130 STATE ROUTE 183 NE, MAGNOLIA, OH 44643-9801","PUBLIC","Stark","East","MAGNOLIA SANDY VALLEY","RED","GRAY",NA,166,"Inter-Valley Conference","CARDINALS","(AA)",-81.348894,40.636435
"1398","SCOTT","2400 Collingwood Blvd.","TOLEDO","43620","2400 Collingwood Blvd., TOLEDO, OH 43620","PUBLIC","Lucas","Northwest","TOL. SCOTT","MAROON","WHITE",NA,333,"","BULLDOGS","(AAA)",-83.5540685,41.6689251
"140","LAKESIDE","6600 Sanborn Rd","Ashtabula","44004-9552","6600 Sanborn Rd, Ashtabula, OH 44004-9552","PUBLIC","Ashtabula","Northeast","ASHTABULA LAKESIDE","FOREST GREEN","VEGAS GOLD",NA,435,"All-American Conference","Dragons","(AAA)",-80.8205235,41.844607
"1400","SENECA EAST","13343 E. US 224","ATTICA","44807-0462","13343 E. US 224, ATTICA, OH 44807-0462","PUBLIC","Seneca","Northwest","ATTICA SENECA EAST","BLACK","ORANGE",NA,118,"","TIGERS","(AA)",-82.9154244,41.0788637
"1406","SHADYSIDE","3890 LINCOLN AVE","SHADYSIDE","43947-1319","3890 LINCOLN AVE, SHADYSIDE, OH 43947-1319","PUBLIC","Belmont","East","SHADYSIDE","ORANGE","BLACK",NA,111,"","TIGERS","(A)",-80.7461254,39.9712284
"1408","SHAKER HEIGHTS","15911 ALDERSYDE DRIVE","SHAKER HEIGHTS","44120-2505","15911 ALDERSYDE DRIVE, SHAKER HEIGHTS, OH 44120-2505","PUBLIC","Cuyahoga","Northeast","SHAKER HTS.","RED","WHITE",NA,645,"Greater Cleveland Conference","RAIDERS","(AAA)",-81.568149,41.47322
"1410","SHAW","15320 EUCLID AVE","EAST CLEVELAND","44112-2806","15320 EUCLID AVE, EAST CLEVELAND, OH 44112-2806","PUBLIC","Cuyahoga","Northeast","EAST CLE. SHAW","RED","BLACK",NA,270,"Lake Erie League","CARDINALS","(AA)",-81.573824,41.536908
"1412","SHAWNEE","3333 ZURMEHLY RD","LIMA","45806-1312","3333 ZURMEHLY RD, LIMA, OH 45806-1312","PUBLIC","Allen","Northwest","LIMA SHAWNEE","RED","BLACK",NA,309,"","INDIANS","(AAA)",-84.166549,40.693427
"1414","SHAWNEE","1675 E POSSUM RD","SPRINGFIELD","45502-9402","1675 E POSSUM RD, SPRINGFIELD, OH 45502-9402","PUBLIC","Clark","Southwest","SPRINGFIELD SHAWNEE","GOLD","BLACK",NA,240,"Central Buckeye Conference","BRAVES","(AA)",-83.780907,39.869188
"1416","SHELBY","1 Whippet Way","Shelby","44875","1 Whippet Way, Shelby, OH 44875","PUBLIC","Richland","Northwest","SHELBY","RED","GRAY",NA,248,"","WHIPPETS","(AAA)",-82.6732614,40.8899346
"1418","SHENANDOAH","49346 SENECA LAKE ROAD","SARAHSVILLE","43779-9801","49346 SENECA LAKE ROAD, SARAHSVILLE, OH 43779-9801","PUBLIC","Noble","East","SARAHSVILLE SHENANDOAH","GREEN","WHITE",NA,112,"","ZEPS","(A)",-81.4468922,39.8104902
"1420","SHERIDAN","8725 SHERIDAN RD NW","THORNVILLE","43076-9757","8725 SHERIDAN RD NW, THORNVILLE, OH 43076-9757","PUBLIC","Perry","Southeast","THORNVILLE SHERIDAN","RED","GREY",NA,299,"Muskingum Valley League","GENERALS","(AAA)",-82.3781822,39.8236308
"1421","SHRODER","5030 DUCK CREEK RD","CINCINNATI","45227","5030 DUCK CREEK RD, CINCINNATI, OH 45227","PUBLIC","Hamilton","Southwest","CIN. SHRODER","RED","GOLD",NA,222,"","JAGUARS","(AA)",-84.40833,39.165796
"1422","SIDNEY","1215 CAMPBELL RD","SIDNEY","45365-2507","1215 CAMPBELL RD, SIDNEY, OH 45365-2507","PUBLIC","Shelby","Southwest","SIDNEY","BLACK","YELLOW",NA,421,"Greater Western Ohio Conference","YELLOW JACKETS","(AAA)",-84.1726926,40.2788931
"1426","SMITHVILLE","200 Smithie Dr.","SMITHVILLE","44677-0156","200 Smithie Dr., SMITHVILLE, OH 44677-0156","PUBLIC","Wayne","Northeast","SMITHVILLE","GREEN","BLACK","WHITE",140,"Wayne County Athletic League","SMITHIES","(A)",-81.8582077,40.8685892
"1428","SOLON","33600 INWOOD ROAD","SOLON","44139-4132","33600 INWOOD ROAD, SOLON, OH 44139-4132","PUBLIC","Cuyahoga","Northeast","SOLON","NAVY BLUE","WHITE",NA,637,"Greater Cleveland Conference","COMETS","(AAA)",-81.4410613,41.3775019
"1432","CANTON SOUTH","600 FAIRCREST ST SE","CANTON","44707-1344","600 FAIRCREST ST SE, CANTON, OH 44707-1344","PUBLIC","Stark","Northeast","CANTON SOUTH","RED","GRAY",NA,236,"","WILDCATS","(AA)",-81.3717701,40.7484989
"1436","SOUTH","1160 Ann Street","COLUMBUS","43206-2876","1160 Ann Street, COLUMBUS, OH 43206-2876","PUBLIC","Franklin","Central","COLS. SOUTH","BLUE","GRAY",NA,301,"Columbus City League","BULLDOGS","(AA)",-82.9796406,39.9401787
"144","ATHENS","1 HIGH SCHOOL RD","THE PLAINS","45780-1148","1 HIGH SCHOOL RD, THE PLAINS, OH 45780-1148","PUBLIC","Athens","Southeast","THE PLAINS ATHENS","GREEN","GOLD",NA,318,"","BULLDOGS","(AAA)",-82.1280038,39.3724446
"1440","SOUTH","5000 SHANKLAND RD","WILLOUGHBY","44094-5637","5000 SHANKLAND RD, WILLOUGHBY, OH 44094-5637","PUBLIC","Lake","Northeast","WILLOUGHBY SOUTH","COLUMBIA BLUE","GRAY",NA,509,"","REBELS","(AAA)",-81.4208187,41.6255442
"1446","SOUTH CENTRAL","3305 GREENWICH ANGLING RD","GREENWICH","44837-9443","3305 GREENWICH ANGLING RD, GREENWICH, OH 44837-9443","PUBLIC","Huron","Northwest","GREENWICH SOUTH CENTRAL","OLD GOLD","WHITE",NA,89,"Firelands Conference","TROJANS","(A)",-82.519319,41.049687
"1448","SOUTHEAST","8423 TALLMADGE RD","RAVENNA","44266-9242","8423 TALLMADGE RD, RAVENNA, OH 44266-9242","PUBLIC","Portage","Northeast","RAVENNA SOUTHEAST","MAROON","GOLD",NA,210,"","PIRATES","(AA)",-81.087459,41.099914
"1450","SOUTHEASTERN","2003 LANCASTER ROAD","CHILLICOTHE","45601","2003 LANCASTER ROAD, CHILLICOTHE, OH 45601","PUBLIC","Ross","Southeast","CHILLICOTHE SOUTHEASTERN","BLUE","WHITE",NA,135,"Scioto Valley Conference","PANTHERS","(AA)",-82.8714183,39.282336
"1452","SOUTHEASTERN LOCAL","195 E JAMESTOWN ST","SOUTH CHARLESTON","45368-0826","195 E JAMESTOWN ST, SOUTH CHARLESTON, OH 45368-0826","PUBLIC","Clark","Southwest","S. CHARLESTON SOUTHEASTERN LOCAL","SCARLET","GRAY",NA,87,"Ohio Heritage Conference","TROJANS","(A)",-83.632226,39.8252
"1453","SOUTH GALLIA","55 Rebel Drive","CROWN CITY","45623","55 Rebel Drive, CROWN CITY, OH 45623","PUBLIC","Gallia","Southeast","CROWN CITY SOUTH GALLIA","RED","VEGAS GOLD","WHITE",80,"","REBELS","(A)",-82.2783013,38.6614115
"1454","SOUTHERN","920 ELM ST","RACINE","45771","920 ELM ST, RACINE, OH 45771","PUBLIC","Meigs","Southeast","RACINE SOUTHERN","PURPLE","GOLD",NA,87,"Tri-Valley Conference","TORNADOES","(A)",-81.9120982,38.971414
"1456","SOUTHERN LOCAL","38095 STATE ROUTE 39","SALINEVILLE","43945-9726","38095 STATE ROUTE 39, SALINEVILLE, OH 43945-9726","PUBLIC","Columbiana","Northeast","SALINEVILLE SOUTHERN","BLUE","GOLD",NA,117,"Inter Tri-County League","INDIANS","(A)",-80.7821136,40.6364969
"1458","SOUTH POINT","983 County Road 60","SOUTH POINT","45680-9803","983 County Road 60, SOUTH POINT, OH 45680-9803","PUBLIC","Lawrence","Southeast","SOUTH POINT","BLUE","GOLD",NA,180,"","POINTERS","(AA)",-82.5795161,38.4391924
"146","AURORA","109 W PIONEER TR","AURORA","44202-9103","109 W PIONEER TR, AURORA, OH 44202-9103","PUBLIC","Portage","Northeast","AURORA","DARK GREEN","WHITE",NA,361,"","GREENMEN","(AAA)",-81.3504826,41.3109778
"1460","SOUTH RANGE","11300 Columbiana Canfield Road","CANFIELD","44406","11300 Columbiana Canfield Road, Canfield, OH 44406","PUBLIC","Mahoning","Northeast","CANFIELD SOUTH RANGE","BURGUNDY","GOLD",NA,188,"Northeast 8 Athletic Conference","RAIDERS","(AA)",-80.7434409,40.9543863
"1468","SPENCERVILLE","2500 WISHER DR","SPENCERVILLE","45887-1293","2500 WISHER DR, SPENCERVILLE, OH 45887-1293","PUBLIC","Allen","Northwest","SPENCERVILLE","BLACK","WHITE",NA,140,"","BEARCATS","(AA)",-84.3440749,40.7020811
"1470","SPRINGBORO","1675 S MAIN ST","SPRINGBORO","45066-1524","1675 S MAIN ST, SPRINGBORO, OH 45066-1524","PUBLIC","Warren","Southwest","SPRINGBORO","BLUE","WHITE",NA,731,"Greater Western Ohio Conference","PANTHERS","(AAA)",-84.234854,39.5383132
"1472","SPRINGFIELD","1880 CANTON ROAD","AKRON","44312-4467","1880 CANTON ROAD, AKRON, OH 44312-4467","PUBLIC","Summit","Northeast","AKRON SPRINGFIELD","RED","GRAY",NA,277,"Portage Trail Conference","SPARTANS","(AA)",-81.4158335,41.0194278
"1476","SPRINGFIELD","1470 S McCord Rd.","Holland","43528-9414","1470 S McCord Rd., Holland, OH 43528-9414","PUBLIC","Lucas","Northwest","HOLLAND SPRINGFIELD","Blue","WHITE",NA,465,"","Blue Devil","(AAA)",-83.7048021,41.6160456
"1478","SPRINGFIELD","11335 YOUNGSTOWN-PITTSBURGH RD","NEW MIDDLETOWN","44442-8724","11335 YOUNGSTOWN-PITTSBURGH RD, NEW MIDDLETOWN, OH 44442-8724","PUBLIC","Mahoning","Northeast","NEW MIDDLETOWN SPRINGFIELD","ORANGE","BLACK",NA,124,"Inter Tri-County League","TIGERS","(A)",-80.5486647,40.9551534
"148","AUSTINTOWN-FITCH","4560 FALCON DR","AUSTINTOWN","44515-3701","4560 FALCON DR, AUSTINTOWN, OH 44515-3701","PUBLIC","Mahoning","Northeast","AUSTINTOWN-FITCH","NAVY","SCARLET",NA,653,"All-American Conference","FALCONS","(AAA)",-80.739023,41.092355
"1480","SPRINGFIELD","701 E Home Rd","SPRINGFIELD","45503-2798","701 E Home Rd, SPRINGFIELD, OH 45503-2798","PUBLIC","Clark","Southwest","SPRINGFIELD","Blue","Gold",NA,818,"Northern 10 Conference","Wildcats","(AAA)",-83.7966356,39.9527567
"1482","START","2010 TREMAINSVILLE RD","TOLEDO","43613-3499","2010 TREMAINSVILLE RD, TOLEDO, OH 43613-3499","PUBLIC","Lucas","Northwest","TOL. START","GREEN","GOLD","WHITE",697,"Toledo City Athletic League","SPARTANS","(AAA)",-83.5918483,41.6994213
"1484","STEBBINS","1900 HARSHMAN RD","RIVERSIDE","45424-5097","1900 HARSHMAN RD, RIVERSIDE, OH 45424-5097","PUBLIC","Montgomery","Southwest","RIVERSIDE STEBBINS","SCARLET","GRAY",NA,463,"Greater Western Ohio Conference","INDIANS","(AAA)",-84.1271791,39.7959203
"1486","STEELE","450 WASHINGTON ST","AMHERST","44001-1552","450 WASHINGTON ST, AMHERST, OH 44001-1552","PUBLIC","Lorain","Northeast","AMHERST STEELE","GREEN","GOLD",NA,492,"","COMETS","(AAA)",-82.222906,41.4044068
"1488","STEUBENVILLE","420 N FOURTH ST","STEUBENVILLE","43952-2022","420 N FOURTH ST, STEUBENVILLE, OH 43952-2022","PUBLIC","Jefferson","East","STEUBENVILLE","RED","BLACK",NA,232,"Ohio Valley Athletic Conference","BIG RED","(AAA)",-80.6117033,40.3647509
"1492","STOW-MUNROE FALLS","3227 E Graham Rd.","Stow","44224-3938","3227 E Graham Rd., Stow, OH 44224-3938","PUBLIC","Summit","Northeast","STOW-MUNROE FALLS","Maroon","Vegas Gold",NA,655,"Suburban League","Bulldogs","(AAA)",-81.3993788,41.1684462
"1494","STRASBURG-FRANKLIN","140 N BODMER AVE","STRASBURG","44680-1122","140 N BODMER AVE, STRASBURG, OH 44680-1122","PUBLIC","Tuscarawas","East","STRASBURG-FRANKLIN","BLACK","ORANGE",NA,78,"Inter-Valley Conference","TIGERS","(A)",-81.5322439,40.5975909
"1496","STREETSBORO","8585 S.R. 14","STREETSBORO","44241-1729","8585 S.R. 14, STREETSBORO, OH 44241-1729","PUBLIC","Portage","Northeast","STREETSBORO","BLUE","GOLD",NA,251,"Portage Trail Conference","ROCKETS","(AA)",-81.319689,41.2228828
"1498","STRONGSVILLE","20025 LUNN RD","STRONGSVILLE","44149-4925","20025 LUNN RD, STRONGSVILLE, OH 44149-4925","PUBLIC","Cuyahoga","Northeast","STRONGSVILLE","GREEN","WHITE",NA,736,"","MUSTANGS","(AAA)",-81.8448417,41.3028119
"150","AVON","37545 DETROIT ROAD","AVON","44011-1821","37545 DETROIT ROAD, AVON, OH 44011-1821","PUBLIC","Lorain","Northeast","AVON","PURPLE","GOLD",NA,476,"Southwestern Conference","EAGLES","(AAA)",-82.036634,41.444481
"1500","STRUTHERS","111 EUCLID AVE","STRUTHERS","44471-1710","111 EUCLID AVE, STRUTHERS, OH 44471-1710","PUBLIC","Mahoning","Northeast","STRUTHERS","RED","BLACK",NA,239,"","WILDCATS","(AA)",-80.5994204,41.052219
"1504","SUMMIT COUNTRY DAY","2161 GRANDIN RD","CINCINNATI","45208-3359","2161 GRANDIN RD, CINCINNATI, OH 45208-3359","PRIVATE","Hamilton","Southwest","CIN. SUMMIT COUNTRY DAY","SILVER","BLUE",NA,154,"Scioto Valley Conference","SILVER KNIGHTS","(A)",-84.4595531,39.1296606
"1506","SWANTON","601 N MAIN ST","SWANTON","43558-1226","601 N MAIN ST, SWANTON, OH 43558-1226","PUBLIC","Fulton","Northwest","SWANTON","PURPLE","WHITE",NA,199,"","BULLDOGS","(AAA)",-83.8998055,41.5930005
"1508","SYCAMORE","7400 CORNELL ROAD","CINCINNATI","45242","7400 CORNELL ROAD, CINCINNATI, OH 45242","PUBLIC","Hamilton","Southwest","CIN. SYCAMORE","FOREST GREEN","GOLD",NA,669,"Greater Miami Conference","AVIATOR","(AAA)",-84.3488896,39.2664601
"1510","SYLVANIA NORTHVIEW","5403 SILICA DR","SYLVANIA","43560-1981","5403 SILICA DR, SYLVANIA, OH 43560-1981","PUBLIC","Lucas","Northwest","SYLVANIA NORTHVIEW","GOLD","BLACK",NA,473,"Northern Lakes League","WILDCATS","(AAA)",-83.710874,41.712638
"1512","SYLVANIA SOUTHVIEW","7225 SYLVANIA AVENUE","SYLVANIA","43560-3532","7225 SYLVANIA AVENUE, SYLVANIA, OH 43560-3532","PUBLIC","Lucas","Northwest","SYLVANIA SOUTHVIEW","ORANGE","BROWN",NA,411,"","COUGARS","(AAA)",-83.7164266,41.6874596
"1514","SYMMES VALLEY","14778 STATE ROUTE 141","WILLOW WOOD","45696-9015","14778 STATE ROUTE 141, WILLOW WOOD, OH 45696-9015","PUBLIC","Lawrence","Southeast","WILLOW WOOD SYMMES VALLEY","SCARLET","GRAY",NA,87,"","VIKINGS","(A)",-82.4865572,38.6071016
"1518","TAFT","420 Ezzard Charles Drive","CINCINNATI","45214","420 Ezzard Charles Drive, CINCINNATI, OH 45214","PUBLIC","Hamilton","Southwest","CIN. TAFT","GREEN","GOLD",NA,217,"","SENATORS","(AA)",-84.5226026,39.1093979
"152","AVON LAKE","175 AVON BELDEN RD","AVON LAKE","44012-1650","175 AVON BELDEN RD, AVON LAKE, OH 44012-1650","PUBLIC","Lorain","Northeast","AVON LAKE","MAROON","GOLD",NA,467,"Southwestern Conference","SHOREMEN","(AAA)",-82.0163606,41.5082601
"1520","TALAWANDA","5301 University Park Blvd","OXFORD","45056","5301 University Park Blvd, OXFORD, OH 45056","PUBLIC","Butler","Southwest","OXFORD TALAWANDA","RED","BLUE","WHITE",401,"","BRAVES","(AAA)",-84.7330762,39.4900407
"1522","TALLMADGE","140 N. Munroe Road","TALLMADGE","44278-2018","140 N. Munroe Road, TALLMADGE, OH 44278-2018","PUBLIC","Summit","Northeast","TALLMADGE","BLUE","GOLD",NA,299,"","BLUE DEVILS","(AA)",-81.4129701,41.1051663
"1524","TAYLOR","56 COOPER ROAD","CLEVES","45002","56 COOPER ROAD, CLEVES, OH 45002","PUBLIC","Hamilton","Southwest","CLEVES TAYLOR","Black","GOLD","Brown",230,"Cincinnati Hills League","YELLOW JACKETS","(AA)",-84.7510121,39.1700291
"1526","TEAYS VALLEY","3887 STATE ROUTE 752","ASHVILLE","43103-9551","3887 STATE ROUTE 752, ASHVILLE, OH 43103-9551","PUBLIC","Pickaway","Central","ASHVILLE TEAYS VALLEY","BLUE","GOLD",NA,441,"Toledo Area Athletic Conference","VIKINGS","(AA)",-82.947559,39.721952
"1528","TECUMSEH","9830 W NATIONAL RD","NEW CARLISLE","45344-9227","9830 W NATIONAL RD, NEW CARLISLE, OH 45344-9227","PUBLIC","Clark","Southwest","NEW CARLISLE TECUMSEH","RED","BLACK",NA,399,"Central Buckeye Conference","ARROWS","(AAA)",-83.997642,39.914184
"1530","CANTON TIMKEN (Consolidated with Canton McKinley July 1 2015)","521 W TUSCARAWAS ST","CANTON","44702-2019","521 W TUSCARAWAS ST, CANTON, OH 44702-2019","PUBLIC","Stark","Northeast","","BLUE","GOLD",NA,NA,"","TROJANS",NA,-81.3786639,40.7997423
"1532","TINORA","5921 DOMERSVILLE RD","DEFIANCE","43512-9803","5921 DOMERSVILLE RD, DEFIANCE, OH 43512-9803","PUBLIC","Defiance","Northwest","DEFIANCE TINORA","GREEN","WHITE",NA,133,"Green Meadows Conference","RAMS","(AA)",-84.322583,41.356896
"1534","TIPPECANOE","615 E KESSLER-COWLESVILLE RD","TIPP CITY","45371-2927","615 E KESSLER-COWLESVILLE RD, TIPP CITY, OH 45371-2927","PUBLIC","Miami","Southwest","TIPP CITY TIPPECANOE","RED","WHITE","BLACK",296,"Greater Western Ohio Conference","RED DEVILS","(AA)",-84.188507,39.9829959
"1536","TORONTO","1305 Dennis Way","TORONTO","43964","1305 Dennis Way, TORONTO, OH 43964","PUBLIC","Jefferson","East","TORONTO","RED","BLUE","WHITE",95,"Ohio Valley Athletic Conference","RED KNIGHTS","(A)",-80.6134677,40.454949
"1538","TRIAD","8099 BRUSH LAKE ROAD","NORTH LEWISBURG","43060-9617","8099 BRUSH LAKE ROAD, NORTH LEWISBURG, OH 43060-9617","PUBLIC","Champaign","Southwest","NORTH LEWISBURG TRIAD","RED","BLACK","WHITE",111,"Ohio Heritage Conference","CARDINALS","(A)",-83.580513,40.175775
"154","AYERSVILLE","28046 WATSON RD","DEFIANCE","43512-8756","28046 WATSON RD, DEFIANCE, OH 43512-8756","PUBLIC","Defiance","Northwest","DEFIANCE AYERSVILLE","COLUMBIA BLUE","GOLD",NA,84,"Green Meadows Conference","PILOTS","(A)",-84.2843468,41.2374156
"1540","TRIMBLE","ONE TOMCAT DRIVE","GLOUSTER","45732-9803","ONE TOMCAT DRIVE, GLOUSTER, OH 45732-9803","PUBLIC","Athens","Southeast","GLOUSTER TRIMBLE","GRAY","RED","WHITE",95,"","TOMCATS","(A)",-82.0880789,39.498603
"1542","TRINITY HS","12425 GRANGER RD","GARFIELD HTS.","44125-2942","12425 GRANGER RD, GARFIELD HTS., OH 44125-2942","PRIVATE","Cuyahoga","Northeast","GARFIELD HTS. TRINITY","BLUE","WHITE",NA,98,"North Coast League","TROJANS","(A)",-81.5962097,41.4180585
"1544","TRI-VALLEY","46 E MUSKINGUM AVE","DRESDEN","43821-9701","46 E MUSKINGUM AVE, DRESDEN, OH 43821-9701","PUBLIC","Muskingum","East","DRESDEN TRI-VALLEY","GOLD","BLACK",NA,376,"Muskingum Valley League","SCOTTIES","(AAA)",-82.0056222,40.1205439
"1546","TRI-VILLAGE","315 S Main St","New Madison","45346","315 S Main St, New Madison, OH 45346","PUBLIC","Darke","Southwest","NEW MADISON TRI-VILLAGE","RED","BLUE","WHITE",88,"Cross County Conference","PATRIOTS","(A)",-84.71082,39.9645317
"1548","TRIWAY","3205 SHREVE RD","WOOSTER","44691-4439","3205 SHREVE RD, WOOSTER, OH 44691-4439","PUBLIC","Wayne","Northeast","WOOSTER TRIWAY","PURPLE","GRAY","WHITE",184,"Principals Athletic Conference","TITANS","(AA)",-81.9782227,40.7616725
"1550","TROTWOOD-MADISON","4440 N UNION RD","TROTWOOD","45426-3153","4440 N UNION RD, TROTWOOD, OH 45426-3153","PUBLIC","Montgomery","Southwest","TROTWOOD-MADISON","RED","WHITE",NA,361,"Northern 10 Conference","RAMS","(AAA)",-84.3101898,39.8096368
"1552","TROY","151 W STAUNTON RD","TROY","45373","151 W STAUNTON RD, TROY, OH 45373","PUBLIC","Miami","Southwest","TROY","SCARLET","GRAY",NA,513,"Greater Western Ohio Conference","TROJANS","(AAA)",-84.20099,40.045791
"1553","TROY CHRISTIAN","700 S DORSET ROAD","TROY","45373","700 S DORSET ROAD, TROY, OH 45373","PRIVATE","Miami","Southwest","TROY CHRISTIAN","FOREST GREEN","GOLD","Black",102,"Metro Buckeye Conference","EAGLES","(A)",-84.2294298,40.0351305
"1554","TURPIN","2650 BARTELS RD","CINCINNATI","45244-4009","2650 BARTELS RD, CINCINNATI, OH 45244-4009","PUBLIC","Hamilton","Southwest","CIN. TURPIN","MAROON","GOLD",NA,415,"","SPARTANS","(AAA)",-84.3671019,39.1057167
"1556","TUSCARAWAS CENTRAL CATHOLIC","777 THIRD ST NE","NEW PHILADELPHIA","44663-2741","777 THIRD ST NE, NEW PHILADELPHIA, OH 44663-2741","PRIVATE","Tuscarawas","East","NEW PHILADELPHIA TUSCARAWAS CENTRAL CATH.","BLACK","Vegas Gold","WHT",43,"Inter-Valley Conference","Saints","(A)",-81.4375983,40.5006181
"1558","TUSCARAWAS VALLEY","2637 TUSKY VALLEY RD","ZOARVILLE","44656-9692","2637 TUSKY VALLEY RD, ZOARVILLE, OH 44656-9692","PUBLIC","Tuscarawas","East","ZOARVILLE TUSCARAWAS VALLEY","RED","BLACK","WHITE",175,"Inter-Valley Conference","TROJANS","(AA)",-81.4064547,40.6015393
"1560","TUSLAW","1847 MANCHESTER RD NW","MASSILLON","44647-9624","1847 MANCHESTER RD NW, MASSILLON, OH 44647-9624","PUBLIC","Stark","Northeast","MASSILLON TUSLAW","BLUE","WHITE",NA,191,"Principals Athletic Conference","MUSTANGS","(AA)",-81.6024982,40.8110471
"1562","TRI-COUNTY NORTH","500 PANTHER WAY","LEWISBURG","45338","500 PANTHER WAY, LEWISBURG, OH 45338","PUBLIC","Preble","Southwest","LEWISBURG TRI-COUNTY NORTH","SCARLET","GRAY",NA,112,"Cross County Conference","PANTHERS","(A)",-84.536983,39.8504448
"1564","TWIN VALLEY SOUTH","100 EDUCATION DR","WEST ALEXANDRIA","45381","100 EDUCATION DR, WEST ALEXANDRIA, OH 45381","PUBLIC","Preble","Southwest","WEST ALEXANDRIA TWIN VALLEY SOUTH","SCARLET","GRAY",NA,121,"Cross County Conference","PANTHERS","(A)",-84.5364713,39.746799
"1566","UNION LOCAL","66779 BELMONT-MORRISTOWN ROAD","BELMONT","43718-9568","66779 BELMONT-MORRISTOWN ROAD, BELMONT, OH 43718-9568","PUBLIC","Belmont","East","BELMONT UNION LOCAL","RED","WHITE",NA,168,"","JETS","(AA)",-81.0555638,40.0641629
"1568","UNIOTO","14193 PLEASANT VALLEY RD","CHILLICOTHE","45601","14193 PLEASANT VALLEY RD, CHILLICOTHE, OH 45601","PUBLIC","Ross","Southeast","CHILLICOTHE UNIOTO","PURPLE","GOLD",NA,253,"Scioto Valley Conference","SHERMAN TANKS","(AAA)",-83.0132495,39.3659164
"1570","UNITED","8143 STATE ROUTE 9","HANOVERTON","44423-8618","8143 STATE ROUTE 9, HANOVERTON, OH 44423-8618","PUBLIC","Columbiana","Northeast","HANOVERTON UNITED","BLUE","GOLD",NA,154,"Inter Tri-County League","GOLDEN EAGLES","(A)",-80.9291655,40.7796708
"1571","UNIVERSITY SCHOOL","2785 SOM CENTER RD","HUNTING VALLEY","44022-6652","2785 SOM CENTER RD, HUNTING VALLEY, OH 44022-6652","PRIVATE","Cuyahoga","Northeast","HUNTING VALLEY UNIVERSITY SCHOOL","MAROON","BLACK",NA,320,"INDEPENDENT","PREPPERS","(AA)",-81.4381691,41.4899133
"1572","UPPER ARLINGTON","1650 RIDGEVIEW RD","COLUMBUS","43221-2954","1650 RIDGEVIEW RD, COLUMBUS, OH 43221-2954","PUBLIC","Franklin","Central","UPPER ARLINGTON","BLACK","GOLD",NA,706,"Ohio Capital Conference","GOLDEN BEARS","(AAA)",-83.0555592,40.0143201
"1574","UPPER SANDUSKY","800 N SANDUSKY AVE","UPPER SANDUSKY","43351-1032","800 N SANDUSKY AVE, UPPER SANDUSKY, OH 43351-1032","PUBLIC","Wyandot","Northwest","UPPER SANDUSKY","ORANGE","BLACK",NA,207,"Northern 10 Conference","RAMS","(AAA)",-83.280683,40.8421964
"1576","UPPER SCIOTO VALLEY","510 S COURTRIGHT ST","MC GUFFEY","45859-0305","510 S COURTRIGHT ST, MC GUFFEY, OH 45859-0305","PUBLIC","Hardin","Northwest","MCGUFFEY UPPER SCIOTO VALLEY","RED","BLACK","WHITE",76,"Northwest Central Conference","RAMS","(A)",-83.7880098,40.691297
"1578","URBANA","500A WASHINGTON AVE","URBANA","43078-1759","500A WASHINGTON AVE, URBANA, OH 43078-1759","PUBLIC","Champaign","Southwest","URBANA","MAROON","WHITE",NA,228,"Central Buckeye Conference","HILLCLIMBERS","(AA)",-83.7427245,40.1123551
"158","BADIN","571 NEW LONDON ROAD","HAMILTON","45013-3654","571 NEW LONDON ROAD, HAMILTON, OH 45013-3654","PRIVATE","Butler","Southwest","HAMILTON BADIN","GREEN","WHITE",NA,227,"Greater Catholic League Co-Ed Division","RAMS","(AA)",-84.5923823,39.3953961
"1580","URSULINE","750 WICK AVE","YOUNGSTOWN","44505-2827","750 WICK AVE, YOUNGSTOWN, OH 44505-2827","PRIVATE","Mahoning","Northeast","YOUNGSTOWN URSULINE","GREEN","GOLD",NA,177,"Northwest Central Conference","FIGHTING IRISH","(AA)",-80.643119,41.1096874
"1584","UTICA","260 N JEFFERSON ST","UTICA","43080-0677","260 N JEFFERSON ST, UTICA, OH 43080-0677","PUBLIC","Licking","Central","UTICA","SCARLET","GRAY",NA,204,"","REDSKINS","(AA)",-82.446745,40.2367868
"1586","VALLEY","1821 ST RT 728","LUCASVILLE","45648-9806","1821 ST RT 728, LUCASVILLE, OH 45648-9806","PUBLIC","Scioto","Southeast","LUCASVILLE VALLEY","PURPLE","GOLD",NA,130,"","INDIANS","(AA)",-82.9760996,38.8806775
